log,label
Slow response detected for /api/services: 3100 ms,PERFORMANCE_WARNING
Exception in method: cancelAppointment | Message: Appointment 203 not found,APPLICATION_ERROR
Appointment created successfully for user 60021 with service svc-77,INFO
User 4471 does not have permission to access /api/appointments/{id}/status,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/auth/register: missing required field 'serviceId',VALIDATION_ERROR
Suspicious request payload containing script tags blocked for /api/appointments/{id}/status,SECURITY_ALERT
Account for user 8891 locked after repeated failed authentication attempts,SECURITY_ALERT
Appointment API request took 45 ms,PERFORMANCE_WARNING
Read timed out on connection to mysql:3306,NETWORK_ERROR
SSL handshake failed while connecting to mail server,NETWORK_ERROR
Unusual number of admin actions performed by user 9002 in a short period,SECURITY_ALERT
User 60021 attempted to access admin-only endpoint /api/services,AUTHORIZATION_ERROR
Completely unrelated unknown event (ref 4471),UNKNOWN
Failed to serialize response for endpoint /api/services/{id}/available-slots,APPLICATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 203 not found,APPLICATION_ERROR
"Docker health check failed for spring-app container, retry 12345",SYSTEM_ERROR
StackOverflowError encountered while processing recursive schedule computation for staff 555,SYSTEM_ERROR
Slow response detected for /api/auth/register: 1500 ms,PERFORMANCE_WARNING
Database query for available slots took 4200 ms,PERFORMANCE_WARNING
Completely unrelated unknown event (ref 203),UNKNOWN
Connection reset by peer while streaming websocket data for user 77410,NETWORK_ERROR
User 4471 logged out,INFO
Query timeout while fetching appointments for user 4471,DATABASE_ERROR
Slow response detected for /api/services: 200 ms,PERFORMANCE_WARNING
Failed to parse JWT claims for request to /api/appointments/{id}/cancel,AUTHENTICATION_ERROR
Application failed to start: port 8443 already in use (pid 555),SYSTEM_ERROR
NullPointerException while processing appointment request for user 9002,APPLICATION_ERROR
User 12345 attempted to book an already-cancelled appointment,WARNING
Slow response detected for /api/services/{id}/available-slots: 7300 ms,PERFORMANCE_WARNING
Method getAllAppointments took 6100 ms to complete,PERFORMANCE_WARNING
Completely unrelated unknown event (ref 8891),UNKNOWN
Invalid request body for endpoint /api/appointments: missing required field 'serviceId',VALIDATION_ERROR
Appointment 9002 status updated to ACCEPTED,INFO
Slow response detected for /api/auth/login: 3100 ms,PERFORMANCE_WARNING
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
org.hibernate.exception.ConstraintViolationException: could not execute statement,DATABASE_ERROR
User 555 does not have permission to access /api/auth/login,AUTHORIZATION_ERROR
Query timeout while fetching appointments for user 12345,DATABASE_ERROR
Appointment 8891 cancelled by user 31,INFO
Deprecated API version used by client for endpoint /api/auth/login,WARNING
Expired JWT token for user 4471,AUTHENTICATION_ERROR
User 4471 successfully logged in,INFO
StackOverflowError encountered while processing recursive schedule computation for staff 555,SYSTEM_ERROR
Possible brute force attack detected against /api/auth/login from 203.0.113.42,SECURITY_ALERT
com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure,DATABASE_ERROR
Application failed to start: port 8443 already in use (pid 60021),SYSTEM_ERROR
JWT token missing on protected endpoint /api/appointments/{id}/cancel,AUTHENTICATION_ERROR
"Docker health check failed for spring-app container, retry 60021",SYSTEM_ERROR
Request from 10.0.0.5 attempted path traversal on static resource path,SECURITY_ALERT
Unusual number of admin actions performed by user 203 in a short period,SECURITY_ALERT
Login failed for user admin@system.local: invalid credentials,AUTHENTICATION_ERROR
Appointment created successfully for user 203 with service svc-101,INFO
Completely unrelated unknown event (ref 12345),UNKNOWN
Connection refused while connecting to MySQL at mysql:3306,DATABASE_ERROR
Unable to reach downstream service from 192.168.1.10,NETWORK_ERROR
User 31 attempted to book an already-cancelled appointment,WARNING
Multiple failed login attempts detected from the same IP 192.168.1.10,SECURITY_ALERT
Uninterpreted binary blob logged at offset 203,UNKNOWN
Retrying email delivery to admin@system.local after transient failure,WARNING
Failed to parse JWT claims for request to /api/appointments,AUTHENTICATION_ERROR
Query timeout while fetching appointments for user 77410,DATABASE_ERROR
Completely unrelated unknown event (ref 8891),UNKNOWN
AuthenticationException: Bad credentials for user staff2@clinic.local,AUTHENTICATION_ERROR
Appointment 12345 requested for a slot close to closing time,WARNING
SSL handshake failed while connecting to mail server,NETWORK_ERROR
Reminder email sent to customer1@mail.com for upcoming appointment,INFO
"Working schedule overlaps detected for staff member 203, auto-resolved",WARNING
Malformed Authorization header on request to /api/auth/login,AUTHENTICATION_ERROR
Invalid request body for endpoint /api/services: missing required field 'serviceId',VALIDATION_ERROR
Read timed out on connection to mysql:3306,NETWORK_ERROR
SocketTimeoutException while sending reminder email to staff2@clinic.local,NETWORK_ERROR
Query timeout while fetching appointments for user 60021,DATABASE_ERROR
Connection reset by peer while streaming websocket data for user 203,NETWORK_ERROR
Slow response detected for /api/admin/schedules: 45 ms,PERFORMANCE_WARNING
Appointment 8891 cancelled by user 12345,INFO
No handler registered for event type 60021,UNKNOWN
Appointment 60021 status updated to ACCEPTED,INFO
Deprecated API version used by client for endpoint /api/auth/register,WARNING
JWT token missing on protected endpoint /api/auth/login,AUTHENTICATION_ERROR
"Working schedule overlaps detected for staff member 77410, auto-resolved",WARNING
User 31 attempted to access admin-only endpoint /api/services/{id}/available-slots,AUTHORIZATION_ERROR
User 203 attempted to book an already-cancelled appointment,WARNING
"Docker health check failed for spring-app container, retry 60021",SYSTEM_ERROR
OutOfMemoryError: Java heap space in appointment-service container (attempt 203),SYSTEM_ERROR
Connection refused while connecting to MySQL at mysql:3306,DATABASE_ERROR
Malformed Authorization header on request to /api/appointments,AUTHENTICATION_ERROR
xkcd-node-8891 heartbeat received on unmapped channel,UNKNOWN
xkcd-node-203 heartbeat received on unmapped channel,UNKNOWN
Method getAllAppointments took 7300 ms to complete,PERFORMANCE_WARNING
Exception in method: createAppointment | Message: Requested slot is no longer available,APPLICATION_ERROR
Slow response detected for /api/appointments/{id}/status: 45 ms,PERFORMANCE_WARNING
SocketTimeoutException while sending reminder email to staff2@clinic.local,NETWORK_ERROR
User 60021 does not have permission to access /api/appointments/{id}/status,AUTHORIZATION_ERROR
Unusual number of admin actions performed by user 31 in a short period,SECURITY_ALERT
Malformed Authorization header on request to /api/auth/register,AUTHENTICATION_ERROR
Disk space critically low on mysql-db volume (45 MB free),SYSTEM_ERROR
"Docker health check failed for spring-app container, retry 31",SYSTEM_ERROR
JWT token missing on protected endpoint /api/appointments/{id}/status,AUTHENTICATION_ERROR
Malformed Authorization header on request to /api/appointments/{id}/status,AUTHENTICATION_ERROR
Application failed to start: port 8443 already in use (pid 8891),SYSTEM_ERROR
Completely unrelated unknown event (ref 9002),UNKNOWN
Connection refused while connecting to MySQL at mysql:3306,DATABASE_ERROR
Unusual number of admin actions performed by user 555 in a short period,SECURITY_ALERT
Possible brute force attack detected against /api/auth/login from 198.51.100.7,SECURITY_ALERT
User 555 does not have permission to access /api/services,AUTHORIZATION_ERROR
Appointment 203 cancelled by user 12345,INFO
Exception in method: cancelAppointment | Message: Appointment 77410 not found,APPLICATION_ERROR
Expired JWT token for user 203,AUTHENTICATION_ERROR
AuthenticationException: Bad credentials for user staff2@clinic.local,AUTHENTICATION_ERROR
Available slots fetched for service svc-330 on requested date,INFO
Connection reset by peer while streaming websocket data for user 555,NETWORK_ERROR
User 9002 does not have permission to access /api/services/{id}/available-slots,AUTHORIZATION_ERROR
Malformed Authorization header on request to /api/auth/login,AUTHENTICATION_ERROR
Slow response detected for /api/appointments: 120 ms,PERFORMANCE_WARNING
OutOfMemoryError: Java heap space in appointment-service container (attempt 31),SYSTEM_ERROR
User 9002 attempted to access admin-only endpoint /api/auth/login,AUTHORIZATION_ERROR
Failed to acquire JDBC Connection: HikariPool-1 connection is not available,DATABASE_ERROR
Unable to reach downstream service from 203.0.113.42,NETWORK_ERROR
Malformed Authorization header on request to /api/admin/schedules,AUTHENTICATION_ERROR
Appointment 77410 cancelled by user 77410,INFO
User 9002 does not have permission to access /api/auth/login,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/appointments: missing required field 'serviceId',VALIDATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 9002 not found,APPLICATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 8891 not found,APPLICATION_ERROR
Invalid request body for endpoint /api/admin/schedules: missing required field 'serviceId',VALIDATION_ERROR
Completely unrelated unknown event (ref 203),UNKNOWN
User 9002 attempted to access admin-only endpoint /api/auth/register,AUTHORIZATION_ERROR
Query timeout while fetching appointments for user 12345,DATABASE_ERROR
Deadlock found when trying to get lock on table appointments; try restarting transaction,DATABASE_ERROR
Retrying email delivery to customer1@mail.com after transient failure,WARNING
Validation failed: username already exists,VALIDATION_ERROR
SocketTimeoutException while sending reminder email to customer1@mail.com,NETWORK_ERROR
User 31 does not have permission to access /api/auth/login,AUTHORIZATION_ERROR
Slow response detected for /api/services: 5000 ms,PERFORMANCE_WARNING
Appointment 8891 requested for a slot close to closing time,WARNING
Appointment 8891 cancelled by user 4471,INFO
Exception in method: cancelAppointment | Message: Appointment 4471 not found,APPLICATION_ERROR
Connection timed out while calling SMTP server smtp.gmail.com:587,NETWORK_ERROR
Working schedule created for staff member 555,INFO
Appointment created successfully for user 203 with service svc-202,INFO
Placeholder log entry 4471 pending removal,UNKNOWN
Connection reset by peer while streaming websocket data for user 555,NETWORK_ERROR
Validation failed: email must be a well-formed email address,VALIDATION_ERROR
Uninterpreted binary blob logged at offset 77410,UNKNOWN
User 9002 attempted to book an already-cancelled appointment,WARNING
No handler registered for event type 4471,UNKNOWN
"Cache miss for service svc-9 listing, falling back to database",WARNING
WebSocket connection established for user 9002,INFO
User 77410 tried to cancel an appointment belonging to another user,AUTHORIZATION_ERROR
Appointment 12345 cancelled by user 12345,INFO
Slow response detected for /api/appointments: 45 ms,PERFORMANCE_WARNING
No handler registered for event type 31,UNKNOWN
User 31 attempted to access admin-only endpoint /api/auth/register,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/admin/schedules: missing required field 'serviceId',VALIDATION_ERROR
403 Forbidden returned for request to /api/appointments/{id}/cancel by user 60021,AUTHORIZATION_ERROR
NullPointerException while processing appointment request for user 77410,APPLICATION_ERROR
SocketTimeoutException while sending reminder email to user@example.com,NETWORK_ERROR
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
"Method Completed: createAppointment | Result: Appointment{id=9002, status=PENDING}",INFO
Legacy subsystem emitted an unrecognized diagnostic code 12345,UNKNOWN
"Docker health check failed for spring-app container, retry 8891",SYSTEM_ERROR
"Working schedule overlaps detected for staff member 555, auto-resolved",WARNING
Appointment 8891 cancelled by user 60021,INFO
xkcd-node-8891 heartbeat received on unmapped channel,UNKNOWN
Expired JWT token for user 8891,AUTHENTICATION_ERROR
Request from 198.51.100.7 attempted path traversal on static resource path,SECURITY_ALERT
IllegalStateException: working schedule not initialized for staff 12345,APPLICATION_ERROR
No handler registered for event type 555,UNKNOWN
Slow response detected for /api/auth/login: 2200 ms,PERFORMANCE_WARNING
Unable to reach downstream service from 192.168.1.10,NETWORK_ERROR
Connection reset by peer while streaming websocket data for user 9002,NETWORK_ERROR
Container spring-app restarted unexpectedly at cycle 555,SYSTEM_ERROR
Appointment 8891 cancelled by user 203,INFO
Failed to serialize response for endpoint /api/services,APPLICATION_ERROR
Multiple failed login attempts detected from the same IP 198.51.100.7,SECURITY_ALERT
Application failed to start: port 8443 already in use (pid 203),SYSTEM_ERROR
Failed to acquire JDBC Connection: HikariPool-1 connection is not available,DATABASE_ERROR
Unusual number of admin actions performed by user 555 in a short period,SECURITY_ALERT
User 555 attempted to book an already-cancelled appointment,WARNING
Appointment created successfully for user 60021 with service svc-101,INFO
403 Forbidden returned for request to /api/auth/login by user 12345,AUTHORIZATION_ERROR
Slow response detected for /api/admin/schedules: 5000 ms,PERFORMANCE_WARNING
"Working schedule overlaps detected for staff member 4471, auto-resolved",WARNING
Appointment 9002 requested for a slot close to closing time,WARNING
org.hibernate.exception.ConstraintViolationException: could not execute statement,DATABASE_ERROR
Appointment 555 cancelled by user 12345,INFO
User 77410 attempted to access admin-only endpoint /api/appointments,AUTHORIZATION_ERROR
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
Query timeout while fetching appointments for user 12345,DATABASE_ERROR
Slow response detected for /api/services/{id}/available-slots: 120 ms,PERFORMANCE_WARNING
User 77410 attempted to book an already-cancelled appointment,WARNING
User 8891 tried to cancel an appointment belonging to another user,AUTHORIZATION_ERROR
Rejected request: appointment duration must be positive,VALIDATION_ERROR
Query timeout while fetching appointments for user 31,DATABASE_ERROR
Connection reset by peer while streaming websocket data for user 60021,NETWORK_ERROR
Failed to serialize response for endpoint /api/services,APPLICATION_ERROR
"Fatal error: unable to load SSL keystore, service unavailable (code 555)",SYSTEM_ERROR
Repeated 401 Unauthorized responses from IP 192.168.1.10 within short window,SECURITY_ALERT
Deadlock found when trying to get lock on table appointments; try restarting transaction,DATABASE_ERROR
Database query for available slots took 200 ms,PERFORMANCE_WARNING
Account for user 12345 locked after repeated failed authentication attempts,SECURITY_ALERT
Invalid request body for endpoint /api/auth/login: missing required field 'serviceId',VALIDATION_ERROR
Unusual number of admin actions performed by user 12345 in a short period,SECURITY_ALERT
Disk space critically low on mysql-db volume (310 MB free),SYSTEM_ERROR
"Working schedule overlaps detected for staff member 8891, auto-resolved",WARNING
Invalid request body for endpoint /api/appointments/{id}/status: missing required field 'serviceId',VALIDATION_ERROR
Query timeout while fetching appointments for user 31,DATABASE_ERROR
Miscellaneous debug marker 12345 left in codebase,UNKNOWN
"Working schedule overlaps detected for staff member 12345, auto-resolved",WARNING
Unclassified telemetry ping from unknown source 172.17.0.3,UNKNOWN
Account for user 4471 locked after repeated failed authentication attempts,SECURITY_ALERT
No handler registered for event type 31,UNKNOWN
org.hibernate.exception.ConstraintViolationException: could not execute statement,DATABASE_ERROR
Appointment API request took 7300 ms,PERFORMANCE_WARNING
Login failed for user user@example.com: invalid credentials,AUTHENTICATION_ERROR
No handler registered for event type 4471,UNKNOWN
Failed to serialize response for endpoint /api/admin/schedules,APPLICATION_ERROR
SQL injection pattern detected in request parameter for /api/appointments/{id}/cancel,SECURITY_ALERT
Malformed Authorization header on request to /api/services,AUTHENTICATION_ERROR
Appointment created successfully for user 8891 with service svc-77,INFO
403 Forbidden returned for request to /api/appointments/{id}/cancel by user 9002,AUTHORIZATION_ERROR
User 60021 attempted to access admin-only endpoint /api/auth/register,AUTHORIZATION_ERROR
MethodArgumentNotValidException: appointment date must be in the future,VALIDATION_ERROR
Validation failed: startTime must not be null,VALIDATION_ERROR
Deprecated API version used by client for endpoint /api/auth/login,WARNING
Login failed for user customer1@mail.com: invalid credentials,AUTHENTICATION_ERROR
Connection reset by peer while streaming websocket data for user 31,NETWORK_ERROR
Request from 10.0.0.5 attempted path traversal on static resource path,SECURITY_ALERT
User 4471 successfully logged in,INFO
IllegalStateException: working schedule not initialized for staff 555,APPLICATION_ERROR
User 203 attempted to access admin-only endpoint /api/auth/register,AUTHORIZATION_ERROR
Query timeout while fetching appointments for user 203,DATABASE_ERROR
Slow response detected for /api/auth/login: 45 ms,PERFORMANCE_WARNING
User 8891 successfully logged in,INFO
User 77410 does not have permission to access /api/admin/schedules,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/auth/login: missing required field 'serviceId',VALIDATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 31 not found,APPLICATION_ERROR
User 12345 attempted to book an already-cancelled appointment,WARNING
Invalid request body for endpoint /api/appointments/{id}/status: missing required field 'serviceId',VALIDATION_ERROR
NullPointerException while processing appointment request for user 555,APPLICATION_ERROR
Invalid request body for endpoint /api/appointments: missing required field 'serviceId',VALIDATION_ERROR
OutOfMemoryError: Java heap space in appointment-service container (attempt 555),SYSTEM_ERROR
Appointment API request took 5000 ms,PERFORMANCE_WARNING
Slow response detected for /api/appointments/{id}/cancel: 7300 ms,PERFORMANCE_WARNING
Appointment created successfully for user 60021 with service svc-330,INFO
Appointment 4471 cancelled by user 4471,INFO
Application failed to start: port 8443 already in use (pid 203),SYSTEM_ERROR
Table 'appointmentdb.working_schedule' doesn't exist,DATABASE_ERROR
Miscellaneous debug marker 77410 left in codebase,UNKNOWN
Invalid request body for endpoint /api/appointments/{id}/status: missing required field 'serviceId',VALIDATION_ERROR
SocketTimeoutException while sending reminder email to customer1@mail.com,NETWORK_ERROR
Possible brute force attack detected against /api/auth/login from 10.0.0.5,SECURITY_ALERT
Repeated 401 Unauthorized responses from IP 198.51.100.7 within short window,SECURITY_ALERT
Disk space critically low on mysql-db volume (1500 MB free),SYSTEM_ERROR
Uninterpreted binary blob logged at offset 9002,UNKNOWN
Connection reset by peer while streaming websocket data for user 4471,NETWORK_ERROR
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
Invalid request body for endpoint /api/appointments/{id}/cancel: missing required field 'serviceId',VALIDATION_ERROR
User 12345 attempted to access admin-only endpoint /api/appointments/{id}/cancel,AUTHORIZATION_ERROR
403 Forbidden returned for request to /api/services/{id}/available-slots by user 12345,AUTHORIZATION_ERROR
Slow response detected for /api/appointments/{id}/status: 1500 ms,PERFORMANCE_WARNING
Miscellaneous debug marker 60021 left in codebase,UNKNOWN
Failed to parse JWT claims for request to /api/services,AUTHENTICATION_ERROR
Multiple failed login attempts detected from the same IP 192.168.1.10,SECURITY_ALERT
Legacy subsystem emitted an unrecognized diagnostic code 60021,UNKNOWN
Validation failed: startTime must not be null,VALIDATION_ERROR
Login failed for user staff2@clinic.local: invalid credentials,AUTHENTICATION_ERROR
Validation failed: email must be a well-formed email address,VALIDATION_ERROR
User 555 attempted to access admin-only endpoint /api/appointments/{id}/cancel,AUTHORIZATION_ERROR
Connection reset by peer while streaming websocket data for user 8891,NETWORK_ERROR
Appointment created successfully for user 555 with service svc-77,INFO
NullPointerException while processing appointment request for user 4471,APPLICATION_ERROR
Method getAllAppointments took 6100 ms to complete,PERFORMANCE_WARNING
No handler registered for event type 4471,UNKNOWN
Uninterpreted binary blob logged at offset 77410,UNKNOWN
AuthenticationException: Bad credentials for user staff2@clinic.local,AUTHENTICATION_ERROR
Database query for available slots took 310 ms,PERFORMANCE_WARNING
Disk space critically low on mysql-db volume (4200 MB free),SYSTEM_ERROR
"Docker health check failed for spring-app container, retry 8891",SYSTEM_ERROR
Account for user 31 locked after repeated failed authentication attempts,SECURITY_ALERT
Reminder email sent to staff2@clinic.local for upcoming appointment,INFO
IllegalStateException: working schedule not initialized for staff 555,APPLICATION_ERROR
"Working schedule overlaps detected for staff member 31, auto-resolved",WARNING
Account for user 555 locked after repeated failed authentication attempts,SECURITY_ALERT
Service svc-202 retrieved successfully,INFO
SQL injection pattern detected in request parameter for /api/services/{id}/available-slots,SECURITY_ALERT
Method getAllAppointments took 4200 ms to complete,PERFORMANCE_WARNING
User 4471 attempted to book an already-cancelled appointment,WARNING
Query timeout while fetching appointments for user 9002,DATABASE_ERROR
403 Forbidden returned for request to /api/appointments/{id}/cancel by user 203,AUTHORIZATION_ERROR
Query timeout while fetching appointments for user 8891,DATABASE_ERROR
Request from 198.51.100.7 attempted path traversal on static resource path,SECURITY_ALERT
Deprecated API version used by client for endpoint /api/services,WARNING
Query timeout while fetching appointments for user 31,DATABASE_ERROR
Statistics report generated for admin dashboard,INFO
GC pause of 4200 ms detected on spring-app container,PERFORMANCE_WARNING
Exception in method: cancelAppointment | Message: Appointment 203 not found,APPLICATION_ERROR
Connection reset by peer while streaming websocket data for user 60021,NETWORK_ERROR
User 60021 attempted to access admin-only endpoint /api/appointments,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/appointments/{id}/cancel: missing required field 'serviceId',VALIDATION_ERROR
Service svc-330 retrieved successfully,INFO
User 12345 successfully logged in,INFO
Rejected request: appointment duration must be positive,VALIDATION_ERROR
Appointment API request took 200 ms,PERFORMANCE_WARNING
User 9002 attempted to access admin-only endpoint /api/admin/schedules,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/auth/register: missing required field 'serviceId',VALIDATION_ERROR
SQL injection pattern detected in request parameter for /api/appointments,SECURITY_ALERT
StackOverflowError encountered while processing recursive schedule computation for staff 31,SYSTEM_ERROR
Connection reset by peer while streaming websocket data for user 9002,NETWORK_ERROR
Account for user 12345 locked after repeated failed authentication attempts,SECURITY_ALERT
Suspicious request payload containing script tags blocked for /api/auth/register,SECURITY_ALERT
Appointment 203 requested for a slot close to closing time,WARNING
Unhandled RuntimeException in AppointmentService.getAvailableSlots,APPLICATION_ERROR
Unable to reach downstream service from 198.51.100.7,NETWORK_ERROR
Method getAllAppointments took 45 ms to complete,PERFORMANCE_WARNING
Invalid request body for endpoint /api/auth/login: missing required field 'serviceId',VALIDATION_ERROR
User 4471 does not have permission to access /api/admin/schedules,AUTHORIZATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 60021 not found,APPLICATION_ERROR
403 Forbidden returned for request to /api/services by user 77410,AUTHORIZATION_ERROR
Appointment 555 cancelled by user 60021,INFO
Invalid request body for endpoint /api/services: missing required field 'serviceId',VALIDATION_ERROR
Appointment 12345 cancelled by user 9002,INFO
org.hibernate.exception.ConstraintViolationException: could not execute statement,DATABASE_ERROR
Legacy subsystem emitted an unrecognized diagnostic code 77410,UNKNOWN
Slow response detected for /api/auth/register: 1500 ms,PERFORMANCE_WARNING
Unusual number of admin actions performed by user 203 in a short period,SECURITY_ALERT
Slow response detected for /api/appointments: 5000 ms,PERFORMANCE_WARNING
Uninterpreted binary blob logged at offset 12345,UNKNOWN
Appointment created successfully for user 4471 with service svc-330,INFO
OutOfMemoryError: Java heap space in appointment-service container (attempt 31),SYSTEM_ERROR
Appointment 555 cancelled by user 4471,INFO
Malformed Authorization header on request to /api/auth/login,AUTHENTICATION_ERROR
JWT token missing on protected endpoint /api/auth/login,AUTHENTICATION_ERROR
Connection reset by peer while streaming websocket data for user 8891,NETWORK_ERROR
Query timeout while fetching appointments for user 31,DATABASE_ERROR
Appointment 8891 cancelled by user 60021,INFO
JWT token missing on protected endpoint /api/services/{id}/available-slots,AUTHENTICATION_ERROR
com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure,DATABASE_ERROR
Expired JWT token for user 77410,AUTHENTICATION_ERROR
Appointment created successfully for user 9002 with service svc-9,INFO
User 31 attempted to access admin-only endpoint /api/appointments,AUTHORIZATION_ERROR
403 Forbidden returned for request to /api/appointments/{id}/status by user 4471,AUTHORIZATION_ERROR
Query timeout while fetching appointments for user 9002,DATABASE_ERROR
IllegalStateException: working schedule not initialized for staff 77410,APPLICATION_ERROR
NullPointerException while processing appointment request for user 60021,APPLICATION_ERROR
Legacy subsystem emitted an unrecognized diagnostic code 77410,UNKNOWN
Appointment 555 cancelled by user 203,INFO
JWT token missing on protected endpoint /api/auth/login,AUTHENTICATION_ERROR
GC pause of 310 ms detected on spring-app container,PERFORMANCE_WARNING
Validation failed: email must be a well-formed email address,VALIDATION_ERROR
Failed to parse JWT claims for request to /api/auth/register,AUTHENTICATION_ERROR
Slow response detected for /api/auth/register: 5000 ms,PERFORMANCE_WARNING
Service svc-9 retrieved successfully,INFO
Retrying email delivery to staff2@clinic.local after transient failure,WARNING
Exception in method: cancelAppointment | Message: Appointment 77410 not found,APPLICATION_ERROR
Failed to serialize response for endpoint /api/appointments/{id}/cancel,APPLICATION_ERROR
Validation failed: username already exists,VALIDATION_ERROR
Placeholder log entry 555 pending removal,UNKNOWN
Appointment 4471 requested for a slot close to closing time,WARNING
Failed to connect to PostgreSQL database,DATABASE_ERROR
JWT token missing on protected endpoint /api/services,AUTHENTICATION_ERROR
Malformed Authorization header on request to /api/services/{id}/available-slots,AUTHENTICATION_ERROR
Connection reset by peer while streaming websocket data for user 203,NETWORK_ERROR
Legacy subsystem emitted an unrecognized diagnostic code 60021,UNKNOWN
org.hibernate.exception.ConstraintViolationException: could not execute statement,DATABASE_ERROR
Failed to serialize response for endpoint /api/services,APPLICATION_ERROR
Failed to serialize response for endpoint /api/appointments/{id}/cancel,APPLICATION_ERROR
Appointment 12345 cancelled by user 4471,INFO
Appointment 203 cancelled by user 4471,INFO
User 4471 attempted to book an already-cancelled appointment,WARNING
Exception in method: cancelAppointment | Message: Appointment 555 not found,APPLICATION_ERROR
403 Forbidden returned for request to /api/appointments by user 31,AUTHORIZATION_ERROR
Disk space critically low on mysql-db volume (2200 MB free),SYSTEM_ERROR
NullPointerException while processing appointment request for user 77410,APPLICATION_ERROR
User 203 does not have permission to access /api/admin/schedules,AUTHORIZATION_ERROR
SQL injection pattern detected in request parameter for /api/services,SECURITY_ALERT
Slow response detected for /api/services: 3100 ms,PERFORMANCE_WARNING
Appointment 31 cancelled by user 12345,INFO
Appointment 31 status updated to ACCEPTED,INFO
Placeholder log entry 31 pending removal,UNKNOWN
User 60021 attempted to access admin-only endpoint /api/services/{id}/available-slots,AUTHORIZATION_ERROR
Database query for available slots took 120 ms,PERFORMANCE_WARNING
Expired JWT token for user 203,AUTHENTICATION_ERROR
Deprecated API version used by client for endpoint /api/appointments/{id}/status,WARNING
User 12345 does not have permission to access /api/services/{id}/available-slots,AUTHORIZATION_ERROR
JWT token missing on protected endpoint /api/services,AUTHENTICATION_ERROR
Invalid request body for endpoint /api/appointments/{id}/cancel: missing required field 'serviceId',VALIDATION_ERROR
Legacy subsystem emitted an unrecognized diagnostic code 12345,UNKNOWN
GC pause of 120 ms detected on spring-app container,PERFORMANCE_WARNING
Connection reset by peer while streaming websocket data for user 9002,NETWORK_ERROR
Request from 203.0.113.42 attempted path traversal on static resource path,SECURITY_ALERT
Appointment 203 cancelled by user 8891,INFO
User 9002 attempted to access admin-only endpoint /api/auth/register,AUTHORIZATION_ERROR
Disk space critically low on mysql-db volume (7300 MB free),SYSTEM_ERROR
"Docker health check failed for spring-app container, retry 60021",SYSTEM_ERROR
AuthenticationException: Bad credentials for user admin@system.local,AUTHENTICATION_ERROR
Placeholder log entry 77410 pending removal,UNKNOWN
Unable to reach downstream service from 192.168.1.10,NETWORK_ERROR
Legacy subsystem emitted an unrecognized diagnostic code 31,UNKNOWN
Appointment 4471 cancelled by user 203,INFO
Thread pool queue depth elevated while processing /api/appointments requests,PERFORMANCE_WARNING
Unclassified telemetry ping from unknown source 10.0.0.5,UNKNOWN
Container spring-app restarted unexpectedly at cycle 555,SYSTEM_ERROR
Invalid request body for endpoint /api/auth/register: missing required field 'serviceId',VALIDATION_ERROR
User 8891 registered a new account,INFO
xkcd-node-203 heartbeat received on unmapped channel,UNKNOWN
Invalid request body for endpoint /api/appointments: missing required field 'serviceId',VALIDATION_ERROR
AccessDeniedException: role CUSTOMER cannot perform this action on /api/auth/login,AUTHORIZATION_ERROR
403 Forbidden returned for request to /api/services/{id}/available-slots by user 31,AUTHORIZATION_ERROR
"Fatal error: unable to load SSL keystore, service unavailable (code 60021)",SYSTEM_ERROR
Deadlock found when trying to get lock on table appointments; try restarting transaction,DATABASE_ERROR
Account for user 8891 locked after repeated failed authentication attempts,SECURITY_ALERT
User 31 does not have permission to access /api/appointments/{id}/status,AUTHORIZATION_ERROR
Appointment 31 requested for a slot close to closing time,WARNING
Query timeout while fetching appointments for user 9002,DATABASE_ERROR
JWT token missing on protected endpoint /api/auth/register,AUTHENTICATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 31 not found,APPLICATION_ERROR
Slow response detected for /api/services/{id}/available-slots: 4200 ms,PERFORMANCE_WARNING
Query timeout while fetching appointments for user 9002,DATABASE_ERROR
JWT token missing on protected endpoint /api/appointments/{id}/status,AUTHENTICATION_ERROR
Slow response detected for /api/appointments/{id}/status: 310 ms,PERFORMANCE_WARNING
No handler registered for event type 4471,UNKNOWN
Invalid request body for endpoint /api/auth/register: missing required field 'serviceId',VALIDATION_ERROR
Failed to serialize response for endpoint /api/auth/login,APPLICATION_ERROR
"Working schedule overlaps detected for staff member 203, auto-resolved",WARNING
